date,txf_dealer_long_oi,txf_dealer_short_oi,txf_dealer_net_oi,txf_foreigner_long_oi,txf_foreigner_short_oi,txf_foreigner_net_oi,txf_trust_long_oi,txf_trust_short_oi,txf_trust_net_oi,txf_long_oi,txf_short_oi,txf_net_oi,mxf_dealer_long_oi,mxf_dealer_short_oi,mxf_dealer_net_oi,mxf_foreigner_long_oi,mxf_foreigner_short_oi,mxf_foreigner_net_oi,mxf_trust_long_oi,mxf_trust_short_oi,mxf_trust_net_oi,mxf_long_oi,mxf_short_oi,mxf_net_oi,open,high,low,close,volume
2008-07-03,3099,11489,-8390,25746,30209,-4463,897,6226,-5329,29742,47924,-18182,1495,8668,-7173,236,1424,-1188,0,13,-13,1731,10105,-8374,7140.0,7377.0,7055.0,7299.0,88271
2008-07-04,2484,11983,-9499,25633,28131,-2498,903,6192,-5289,29020,46306,-17286,265,8488,-8223,0,1828,-1828,0,13,-13,265,10329,-10064,7282.0,7323.0,7099.0,7100.0,68358
2008-07-07,3715,11513,-7798,26703,27833,-1130,945,6577,-5632,31363,45923,-14560,374,7581,-7207,0,1377,-1377,0,13,-13,374,8971,-8597,7096.0,7279.0,7075.0,7258.0,62222
2008-07-08,2934,16208,-13274,28871,23451,5420,933,6510,-5577,32738,46169,-13431,755,8744,-7989,0,1806,-1806,0,13,-13,755,10563,-9808,7199.0,7200.0,6892.0,6988.0,86146
2008-07-09,2685,16092,-13407,29602,24209,5393,1015,6655,-5640,33302,46956,-13654,965,8391,-7426,0,1726,-1726,0,13,-13,965,10130,-9165,7095.0,7185.0,6950.0,7011.0,95748
2008-07-10,2092,17045,-14953,29888,23727,6161,1019,6555,-5536,32999,47327,-14328,466,8515,-8049,0,1495,-1495,0,13,-13,466,10023,-9557,6958.0,7116.0,6893.0,7010.0,94113
2008-07-11,3033,15983,-12950,30012,25703,4309,1710,5598,-3888,34755,47284,-12529,911,7872,-6961,243,1502,-1259,0,13,-13,1154,9387,-8233,6973.0,7206.0,6963.0,7181.0,97960
2008-07-14,2708,12600,-9892,30882,33803,-2921,2231,5529,-3298,35821,51932,-16111,643,9363,-8720,0,1878,-1878,0,13,-13,643,11254,-10611,7200.0,7238.0,7088.0,7152.0,76318
2008-07-15,2216,13158,-10942,41407,42187,-780,2892,5918,-3026,46515,61263,-14748,788,8216,-7428,0,1785,-1785,0,13,-13,788,10014,-9226,7050.0,7065.0,6744.0,6790.0,94598
2008-07-16,2385,17675,-15290,50870,48996,1874,2198,6250,-4052,55453,72921,-17468,499,7160,-6661,106,848,-742,0,3,-3,605,8011,-7406,6820.0,6866.0,6677.0,6678.0,60578
